workflow,scenario,level,method,avg_speedup
request_risk,stable,low,BaseSpec,3.4009996273156777
request_risk,stable,medium,BaseSpec,3.5392418073106313
request_risk,stable,high,BaseSpec,3.253480802127773
request_risk,drift,low,BaseSpec,2.746290309513172
request_risk,drift,medium,BaseSpec,2.6565488505813644
request_risk,drift,high,BaseSpec,2.27035807787482
request_risk,stable,low,SpecSW,3.149268976099538
request_risk,stable,medium,SpecSW,3.9732424904514905
request_risk,stable,high,SpecSW,4.228449388728588
request_risk,drift,low,SpecSW,2.9804519905932585
request_risk,drift,medium,SpecSW,3.8019487299231116
request_risk,drift,high,SpecSW,3.7853048017746054
log_alert,stable,low,BaseSpec,2.306052995247696
log_alert,stable,medium,BaseSpec,2.3340845970263957
log_alert,stable,high,BaseSpec,2.069095210427754
log_alert,drift,low,BaseSpec,1.7432026314753901
log_alert,drift,medium,BaseSpec,1.9277272043351752
log_alert,drift,high,BaseSpec,1.665661977634311
log_alert,stable,low,SpecSW,2.4182240605767467
log_alert,stable,medium,SpecSW,2.5106573044014877
log_alert,stable,high,SpecSW,2.3863231982921094
log_alert,drift,low,SpecSW,1.8694697866804544
log_alert,drift,medium,SpecSW,2.21126473973014
log_alert,drift,high,SpecSW,1.927129109194923
media_content,stable,low,BaseSpec,2.651708861785042
media_content,stable,medium,BaseSpec,2.818890141458006
media_content,stable,high,BaseSpec,2.1826332809414795
media_content,drift,low,BaseSpec,2.3410420809211088
media_content,drift,medium,BaseSpec,1.892637285561839
media_content,drift,high,BaseSpec,1.7603442584623648
media_content,stable,low,SpecSW,2.745455576496489
media_content,stable,medium,SpecSW,3.491559284153644
media_content,stable,high,SpecSW,3.20851343462815
media_content,drift,low,SpecSW,2.722471104291409
media_content,drift,medium,SpecSW,2.93953566722818
media_content,drift,high,SpecSW,3.110730356755675
