workflow,scenario,level,NoSpec_mean,NoSpec_ci95,BaseSpec_mean,BaseSpec_ci95,SpecSW_mean,SpecSW_ci95
request_risk,stable,low,612.0,36.7,179.947094108633,7.241531350567921,194.33081284723414,6.763721797799837
request_risk,stable,medium,1185.0,106.6,334.81747349171593,23.40548689100858,298.2450738528534,19.378360128510273
request_risk,stable,high,2448.0,318.2,752.4249100836897,82.80938446288137,578.9356274490176,60.75998042613469
request_risk,drift,low,598.0,41.9,217.74828317622615,8.725796411433471,200.64070882113697,7.064813690885104
request_risk,drift,medium,1226.0,122.6,461.50101841029567,32.3338345157439,322.46621064371743,20.993105419058914
request_risk,drift,high,2528.0,353.9,1113.4807432518958,122.47494815782787,667.8458228290724,70.1561134924736
log_alert,stable,low,1068.0,64.1,463.1289923522702,18.544993912178697,441.64642036738394,15.445006243705084
log_alert,stable,medium,2175.0,195.8,931.842831562717,65.25676704643124,866.3070010339366,56.32055302073128
log_alert,stable,high,4328.0,562.6,2091.735546140118,230.07900943699383,1813.6688287225923,190.47156499329537
log_alert,drift,low,1042.0,72.9,597.7503597032119,23.902080087684432,557.3772881616019,19.480951940454393
log_alert,drift,medium,2248.0,224.8,1166.1401026787287,81.61691508670751,1016.6127825446821,66.11212992124372
log_alert,drift,high,4486.0,628.0,2693.223511274076,296.22780970562525,2327.814975445039,244.36909442166507
media_content,stable,low,2328.0,139.7,877.9244333908014,35.10904308860638,847.9467014253389,29.674601859189337
media_content,stable,medium,4386.0,394.7,1555.9315120139597,108.89239595839938,1256.1722838004653,81.65876879024319
media_content,stable,high,8475.0,1101.8,3882.924389544865,427.1385422769579,2641.4101647613043,277.37380613565915
media_content,drift,low,2398.0,167.9,1024.330156020297,40.95733899083964,880.8174295110248,30.78722392858842
media_content,drift,medium,4312.0,431.2,2278.302363001351,159.47025637514355,1466.8983431883235,95.38422447622415
media_content,drift,high,8842.0,1237.9,5022.8811537825895,552.5000672838038,2842.4192989911644,298.47421403113896
