workflow,scenario,level,BaseSpec_misspec_rate_pct,SpecSW_misspec_rate_pct,misspec_reduction_pct_points,BaseSpec_successful_speculation_rate_pct,SpecSW_successful_speculation_rate_pct,BaseSpec_extra_triggers_per_request,SpecSW_extra_triggers_per_request,extra_trigger_change_pct,SpecSW_vs_BaseSpec_mean_latency_drop_pct,SpecSW_vs_BaseSpec_p95_norm_drop_pct_points,SpecSW_vs_BaseSpec_p99_change_pct
request_risk,stable,low,11.34,9.5,1.84,88.66,90.5,0.46,0.488,6.09,-7.99,5.5,8.0
request_risk,stable,medium,13.44,9.04,4.4,86.56,90.96,0.6,0.546,-9.0,10.92,8.0,4.0
request_risk,stable,high,17.64,10.42,7.22,82.36,89.58,0.78,0.679,-12.95,23.06,10.5,-5.0
request_risk,drift,low,15.12,11.46,3.66,84.88,88.54,0.48,0.443,-7.71,7.86,7.0,7.0
request_risk,drift,medium,19.74,11.6,8.14,80.26,88.4,0.64,0.548,-14.37,30.13,9.5,-6.0
request_risk,drift,high,25.2,14.6,10.6,74.8,85.4,0.82,0.674,-17.8,40.02,12.0,-13.0
log_alert,stable,low,16.8,14.78,2.02,83.2,85.22,0.42,0.397,-5.48,4.64,3.0,5.0
log_alert,stable,medium,18.9,15.72,3.18,81.1,84.28,0.54,0.502,-7.04,7.03,5.5,7.0
log_alert,stable,high,22.68,17.66,5.02,77.32,82.34,0.68,0.615,-9.56,13.29,8.0,3.0
log_alert,drift,low,19.32,16.46,2.86,80.68,83.54,0.44,0.411,-6.59,6.75,4.5,6.0
log_alert,drift,medium,22.26,17.62,4.64,77.74,82.38,0.58,0.528,-8.97,12.82,7.0,4.0
log_alert,drift,high,26.04,20.47,5.57,73.96,79.53,0.72,0.647,-10.14,13.57,9.5,-2.0
media_content,stable,low,14.28,11.37,2.91,85.72,88.63,0.5,0.467,-6.6,3.41,7.0,6.0
media_content,stable,medium,17.64,11.33,6.31,82.36,88.67,0.68,0.601,-11.62,19.27,9.5,-4.0
media_content,stable,high,22.26,13.05,9.21,77.74,86.95,0.86,0.724,-15.81,31.97,12.0,-9.0
media_content,drift,low,18.48,13.3,5.18,81.52,86.7,0.54,0.487,-9.81,14.01,8.5,8.0
media_content,drift,medium,24.36,14.78,9.58,75.64,85.22,0.74,0.619,-16.35,35.61,11.0,-10.0
media_content,drift,high,30.24,18.52,11.72,69.76,81.48,0.92,0.754,-18.04,43.41,13.5,-16.0
