workflow,scenario,level,NoSpec_mean,BaseSpec_mean,SpecSW_mean,NoSpec_p95,BaseSpec_p95,SpecSW_p95,NoSpec_p99,BaseSpec_p99,SpecSW_p99,BaseSpec_p95_norm_to_NoSpec,SpecSW_p95_norm_to_NoSpec,SpecSW_vs_BaseSpec_p99_pct
request_risk,stable,low,612.0,179.947094108633,194.3308128472341,722.16,592.171,552.452,881.28,766.714,828.051,0.82,0.765,8.0
request_risk,stable,medium,1185.0,334.817473491716,298.2450738528534,1457.55,1129.601,1012.997,1836.75,1561.237,1623.687,0.775,0.695,4.0
request_risk,stable,high,2448.0,752.4249100836897,578.9356274490176,3133.44,2287.411,1958.4,4063.68,3372.854,3204.212,0.73,0.625,-5.0
request_risk,drift,low,598.0,217.74828317622612,200.64070882113697,723.58,582.482,531.831,902.98,790.108,845.415,0.805,0.735,7.0
request_risk,drift,medium,1226.0,461.50101841029567,322.46621064371743,1544.76,1174.018,1027.265,1986.12,1698.133,1596.245,0.76,0.665,-6.0
request_risk,drift,high,2528.0,1113.4807432518958,667.8458228290724,3311.68,2367.851,1970.45,4373.44,3651.822,3177.085,0.715,0.595,-13.0
log_alert,stable,low,1068.0,463.1289923522702,441.646420367384,1281.6,1102.176,1063.728,1569.96,1436.513,1508.339,0.86,0.83,5.0
log_alert,stable,medium,2175.0,931.842831562717,866.3070010339366,2718.75,2215.781,2066.25,3436.5,3075.668,3290.964,0.815,0.76,7.0
log_alert,stable,high,4328.0,2091.735546140118,1813.6688287225925,5626.4,4332.328,3882.216,7314.32,6400.03,6592.031,0.77,0.69,3.0
log_alert,drift,low,1042.0,597.7503597032119,557.3772881616019,1281.66,1083.003,1025.328,1604.68,1476.306,1564.884,0.845,0.8,6.0
log_alert,drift,medium,2248.0,1166.140102678729,1016.612782544682,2877.44,2301.952,2100.531,3709.2,3338.28,3471.811,0.8,0.73,4.0
log_alert,drift,high,4486.0,2693.223511274076,2327.814975445039,5966.38,4504.617,3937.811,7895.36,6947.917,6808.958,0.755,0.66,-2.0
media_content,stable,low,2328.0,877.9244333908014,847.9467014253389,2840.16,2357.333,2158.522,3492.0,3125.34,3312.86,0.83,0.76,6.0
media_content,stable,medium,4386.0,1555.9315120139595,1256.1722838004653,5570.22,4372.623,3843.452,7061.46,6178.778,5931.626,0.785,0.69,-4.0
media_content,stable,high,8475.0,3882.924389544865,2641.4101647613043,11187.0,8278.38,6935.94,14577.0,12463.335,11341.635,0.74,0.62,-9.0
media_content,drift,low,2398.0,1024.330156020297,880.8174295110248,2997.5,2442.962,2188.175,3764.86,3388.374,3659.444,0.815,0.73,8.0
media_content,drift,medium,4312.0,2278.302363001351,1466.8983431883237,5605.6,4316.312,3699.696,7244.16,6374.861,5737.375,0.77,0.66,-10.0
media_content,drift,high,8842.0,5022.8811537825895,2842.4192989911644,11936.7,8654.108,7042.653,15827.18,13611.375,11433.555,0.725,0.59,-16.0
